ts,kama_L,ceo_L,ceo_S,TXF_abs,TXF_caa
2026-03-05 00:00:00,0.0,0.0,0.0,34281,34316
2026-03-05 00:30:00,0.0,0.0,0.0,34198,34234
2026-03-05 01:00:00,0.0,0.0,0.0,34267,34302
2026-03-05 01:30:00,0.0,0.0,0.0,34257,34292
2026-03-05 02:00:00,0.0,0.0,0.0,34329,34363
2026-03-05 02:30:00,0.0,0.0,0.0,34317,34351
2026-03-05 03:00:00,-2.0,0.0,0.0,34345,34379
2026-03-05 03:30:00,-5.0,0.0,0.0,34340,34374
2026-03-05 04:00:00,73.0,0.0,0.0,34415,34447
2026-03-05 04:30:00,-59.0,0.0,0.0,34355,34388
2026-03-05 05:00:00,-27.0,0.0,0.0,34327,34361
2026-03-05 09:00:00,269.0,0.0,0.0,34601,34630
2026-03-05 09:30:00,119.0,0.0,0.0,34722,34749
2026-03-05 10:00:00,-403.0,0.0,0.0,34312,34346
2026-03-05 10:30:00,-225.0,0.0,0.0,34083,34121
2026-03-05 11:00:00,280.0,0.0,0.0,34368,34401
2026-03-05 11:30:00,-93.0,0.0,0.0,34275,34310
2026-03-05 12:00:00,0.0,0.0,0.0,34107,34145
2026-03-05 12:30:00,0.0,0.0,0.0,34241,34276
2026-03-05 13:00:00,0.0,0.0,0.0,34346,34380
2026-03-05 13:30:00,0.0,0.0,0.0,34245,34280
2026-03-05 14:00:00,0.0,0.0,-2.0,34229,34265
2026-03-05 15:30:00,0.0,0.0,26.0,34203,34239
2026-03-05 16:00:00,0.0,0.0,94.0,34107,34145
2026-03-05 16:30:00,0.0,0.0,401.0,33699,33744
2026-03-05 17:00:00,0.0,0.0,-230.0,33933,33974
2026-03-05 17:30:00,0.0,0.0,-225.0,34162,34199
2026-03-05 18:00:00,0.0,0.0,-47.0,34210,34246
2026-03-05 18:30:00,0.0,0.0,-37.0,34248,34283
2026-03-05 19:00:00,-2.0,0.0,53.0,34194,34230
2026-03-05 19:30:00,40.0,0.0,-40.0,34234,34270
2026-03-05 20:00:00,-54.0,0.0,54.0,34180,34216
2026-03-05 20:30:00,26.0,0.0,-26.0,34206,34242
2026-03-05 21:00:00,-166.0,0.0,166.0,34037,34076
2026-03-05 21:30:00,33.0,0.0,-33.0,34071,34109
2026-03-05 22:00:00,-173.0,0.0,171.0,33897,33938
2026-03-05 22:30:00,0.0,0.0,-17.0,33914,33955
2026-03-05 23:00:00,0.0,0.0,-305.0,34224,34260
2026-03-05 23:30:00,0.0,0.0,362.0,33856,33898
2026-03-06 00:00:00,0.0,0.0,-20.0,33876,33918
2026-03-06 00:30:00,0.0,0.0,188.0,33685,33730
2026-03-06 01:00:00,0.0,0.0,-151.0,33839,33881
2026-03-06 01:30:00,0.0,0.0,130.0,33706,33751
2026-03-06 02:00:00,0.0,0.0,165.0,33538,33586
2026-03-06 02:30:00,0.0,0.0,101.0,33436,33485
2026-03-06 03:00:00,0.0,0.0,-163.0,33602,33648
2026-03-06 03:30:00,0.0,0.0,-30.0,33632,33678
2026-03-06 04:00:00,0.0,0.0,49.0,33582,33629
2026-03-06 04:30:00,0.0,0.0,-144.0,33729,33773
2026-03-06 05:00:00,0.0,0.0,-141.0,33872,33914
2026-03-06 09:00:00,0.0,0.0,-114.0,33988,34028
2026-03-06 09:30:00,-2.0,0.0,-18.0,34007,34046
2026-03-06 10:00:00,190.0,-2.0,-192.0,34200,34236
2026-03-06 10:30:00,260.0,260.0,0.0,34464,34496
2026-03-06 11:00:00,-284.0,-284.0,0.0,34175,34212
2026-03-06 11:30:00,-45.0,-45.0,0.0,34130,34167
2026-03-06 12:00:00,149.0,149.0,0.0,34281,34316
2026-03-06 12:30:00,-117.0,-117.0,0.0,34162,34199
2026-03-06 13:00:00,74.0,74.0,0.0,34238,34273
2026-03-06 13:30:00,28.0,28.0,0.0,34266,34301
2026-03-06 14:00:00,29.0,29.0,0.0,34296,34330
2026-03-06 15:30:00,36.0,36.0,0.0,34332,34366
2026-03-06 16:00:00,-6.0,-6.0,0.0,34326,34360
2026-03-06 16:30:00,-147.0,-147.0,0.0,34176,34213
2026-03-06 17:00:00,77.0,77.0,0.0,34255,34290
2026-03-06 17:30:00,-250.0,-248.0,0.0,34002,34042
2026-03-06 18:00:00,0.0,-36.0,0.0,33966,34006
2026-03-06 18:30:00,0.0,9.0,0.0,33975,34015
2026-03-06 19:00:00,0.0,-2.0,0.0,33973,34013
2026-03-06 19:30:00,0.0,-102.0,-2.0,33871,33913
2026-03-06 20:00:00,0.0,0.0,175.0,33693,33738
2026-03-06 20:30:00,0.0,0.0,3.0,33690,33735
2026-03-06 21:00:00,0.0,0.0,52.0,33637,33683
2026-03-06 21:30:00,0.0,0.0,-59.0,33697,33742
2026-03-06 22:00:00,0.0,0.0,325.0,33367,33417
2026-03-06 22:30:00,0.0,0.0,-42.0,33409,33459
2026-03-06 23:00:00,0.0,0.0,127.0,33280,33332
2026-03-06 23:30:00,0.0,0.0,-257.0,33542,33589
2026-03-07 00:00:00,0.0,0.0,72.0,33468,33517
2026-03-07 00:30:00,0.0,0.0,39.0,33429,33478
2026-03-07 01:00:00,0.0,0.0,-80.0,33510,33558
2026-03-07 01:30:00,0.0,0.0,56.0,33453,33502
2026-03-07 02:00:00,0.0,0.0,97.0,33354,33405
2026-03-07 02:30:00,0.0,0.0,-152.0,33509,33557
2026-03-07 03:00:00,0.0,0.0,35.0,33473,33522
2026-03-07 03:30:00,0.0,0.0,-35.0,33509,33557
2026-03-07 04:00:00,0.0,0.0,27.0,33481,33530
2026-03-07 04:30:00,0.0,0.0,244.0,33233,33286
2026-03-07 05:00:00,0.0,0.0,-13.0,33246,33299
2026-03-09 09:00:00,0.0,0.0,1197.0,32028,32102
2026-03-09 09:30:00,0.0,0.0,-74.0,32104,32176
2026-03-09 10:00:00,0.0,0.0,126.0,31975,32050
2026-03-09 10:30:00,0.0,0.0,-172.0,32151,32222
2026-03-09 11:00:00,0.0,0.0,-141.0,32294,32363
2026-03-09 11:30:00,0.0,0.0,-8.0,32302,32371
2026-03-09 12:00:00,0.0,0.0,36.0,32266,32335
2026-03-09 12:30:00,0.0,0.0,-106.0,32373,32441
2026-03-09 13:00:00,0.0,0.0,64.0,32308,32377
2026-03-09 13:30:00,0.0,0.0,-238.0,32550,32615
2026-03-09 14:00:00,0.0,0.0,203.0,32344,32412
2026-03-09 15:30:00,0.0,0.0,-224.0,32572,32636
2026-03-09 16:00:00,0.0,0.0,49.0,32522,32587
2026-03-09 16:30:00,0.0,0.0,5.0,32517,32582
2026-03-09 17:00:00,0.0,0.0,-56.0,32574,32638
2026-03-09 17:30:00,0.0,-2.0,-311.0,32888,32947
2026-03-09 18:00:00,0.0,-25.0,0.0,32863,32922
2026-03-09 18:30:00,0.0,-175.0,0.0,32685,32747
2026-03-09 19:00:00,0.0,14.0,0.0,32699,32761
2026-03-09 19:30:00,0.0,-15.0,0.0,32684,32746
2026-03-09 20:00:00,0.0,66.0,0.0,32751,32812
2026-03-09 20:30:00,0.0,109.0,0.0,32862,32921
2026-03-09 21:00:00,0.0,-73.0,0.0,32788,32848
2026-03-09 21:30:00,0.0,84.0,0.0,32873,32932
2026-03-09 22:00:00,0.0,-78.0,0.0,32794,32854
2026-03-09 22:30:00,0.0,-27.0,0.0,32766,32827
2026-03-09 23:00:00,0.0,208.0,0.0,32978,33035
2026-03-09 23:30:00,0.0,186.0,0.0,33167,33221
2026-03-10 00:00:00,0.0,-13.0,0.0,33154,33208
2026-03-10 00:30:00,0.0,120.0,0.0,33276,33328
2026-03-10 01:00:00,0.0,52.0,0.0,33329,33380
2026-03-10 01:30:00,0.0,-176.0,0.0,33150,33204
2026-03-10 02:00:00,0.0,70.0,0.0,33221,33274
2026-03-10 02:30:00,0.0,97.0,0.0,33320,33371
2026-03-10 03:00:00,0.0,-75.0,0.0,33243,33296
2026-03-10 03:30:00,0.0,620.0,0.0,33874,33916
2026-03-10 04:00:00,0.0,-8.0,0.0,33866,33908
2026-03-10 04:30:00,-2.0,-13.0,0.0,33853,33895
2026-03-10 05:00:00,145.0,145.0,0.0,34000,34040
2026-03-10 09:00:00,-382.0,-382.0,0.0,33612,33658
2026-03-10 09:30:00,-11.0,-11.0,0.0,33601,33647
2026-03-10 10:00:00,189.0,189.0,0.0,33793,33836
2026-03-10 10:30:00,-62.0,-62.0,0.0,33730,33774
2026-03-10 11:00:00,-342.0,-340.0,0.0,33384,33434
2026-03-10 11:30:00,0.0,-172.0,-2.0,33211,33264
2026-03-10 12:00:00,0.0,0.0,143.0,33065,33121
2026-03-10 12:30:00,0.0,0.0,-173.0,33241,33294
2026-03-10 13:00:00,0.0,0.0,-3.0,33244,33297
2026-03-10 13:30:00,0.0,0.0,-94.0,33340,33391
2026-03-10 14:00:00,0.0,0.0,69.0,33270,33322
2026-03-10 15:30:00,0.0,0.0,-367.0,33643,33689
2026-03-10 16:00:00,0.0,0.0,-116.0,33761,33805
2026-03-10 16:30:00,0.0,-2.0,-81.0,33842,33884
2026-03-10 17:00:00,0.0,-61.0,0.0,33780,33823
2026-03-10 17:30:00,0.0,51.0,0.0,33832,33874
2026-03-10 18:00:00,0.0,-81.0,0.0,33749,33793
2026-03-10 18:30:00,0.0,21.0,0.0,33770,33814
2026-03-10 19:00:00,0.0,-100.0,0.0,33669,33714
2026-03-10 19:30:00,0.0,-37.0,0.0,33631,33677
2026-03-10 20:00:00,0.0,-148.0,0.0,33480,33529
2026-03-10 20:30:00,0.0,-59.0,0.0,33420,33470
2026-03-10 21:00:00,0.0,104.0,0.0,33526,33574
2026-03-10 21:30:00,0.0,31.0,0.0,33558,33605
2026-03-10 22:00:00,0.0,-84.0,0.0,33472,33521
2026-03-10 22:30:00,0.0,192.0,0.0,33668,33713
2026-03-10 23:00:00,0.0,245.0,0.0,33917,33958
2026-03-10 23:30:00,0.0,-17.0,0.0,33900,33941
2026-03-11 00:00:00,0.0,14.0,0.0,33914,33955
2026-03-11 00:30:00,0.0,-86.0,0.0,33826,33869
2026-03-11 01:00:00,0.0,82.0,0.0,33910,33951
2026-03-11 01:30:00,0.0,164.0,0.0,34077,34115
2026-03-11 02:00:00,-2.0,-38.0,0.0,34038,34077
2026-03-11 02:30:00,-281.0,-281.0,0.0,33752,33796
2026-03-11 03:00:00,-81.0,-81.0,0.0,33670,33715
2026-03-11 03:30:00,-39.0,-39.0,0.0,33630,33676
2026-03-11 04:00:00,-11.0,-9.0,0.0,33621,33667
2026-03-11 04:30:00,0.0,62.0,0.0,33684,33729
2026-03-11 05:00:00,0.0,2.0,0.0,33686,33731
2026-03-11 09:00:00,0.0,260.0,0.0,33951,33991
2026-03-11 09:30:00,0.0,263.0,0.0,34218,34254
2026-03-11 10:00:00,-2.0,55.0,0.0,34274,34309
2026-03-11 10:30:00,126.0,126.0,0.0,34402,34435
2026-03-11 11:00:00,134.0,134.0,0.0,34539,34569
2026-03-11 11:30:00,51.0,51.0,0.0,34591,34620
2026-03-11 12:00:00,156.0,156.0,0.0,34749,34776
2026-03-11 12:30:00,-10.0,-10.0,0.0,34739,34766
2026-03-11 13:00:00,-14.0,-14.0,0.0,34725,34752
2026-03-11 13:30:00,-76.0,-76.0,0.0,34648,34676
2026-03-11 14:00:00,-65.0,-65.0,0.0,34581,34611
2026-03-11 15:30:00,-196.0,-194.0,0.0,34384,34417
2026-03-11 16:00:00,0.0,-19.0,0.0,34365,34398
2026-03-11 16:30:00,0.0,0.0,0.0,34365,34398
2026-03-11 17:00:00,0.0,-71.0,0.0,34292,34327
2026-03-11 17:30:00,0.0,-144.0,-2.0,34148,34185
2026-03-11 18:00:00,0.0,0.0,21.0,34127,34164
2026-03-11 18:30:00,0.0,-2.0,-205.0,34333,34367
2026-03-11 19:00:00,0.0,74.0,0.0,34408,34441
2026-03-11 19:30:00,0.0,-153.0,0.0,34253,34288
2026-03-11 20:00:00,0.0,-39.0,0.0,34213,34249
2026-03-11 20:30:00,0.0,124.0,0.0,34339,34373
2026-03-11 21:00:00,0.0,-136.0,0.0,34201,34237
2026-03-11 21:30:00,0.0,95.0,0.0,34298,34332
2026-03-11 22:00:00,0.0,112.0,0.0,34412,34444
2026-03-11 22:30:00,0.0,12.0,0.0,34424,34456
2026-03-11 23:00:00,0.0,144.0,0.0,34570,34600
2026-03-11 23:30:00,0.0,-230.0,0.0,34336,34370
2026-03-12 00:00:00,0.0,-46.0,0.0,34289,34324
2026-03-12 00:30:00,0.0,21.0,0.0,34311,34345
2026-03-12 01:00:00,0.0,109.0,0.0,34422,34454
2026-03-12 01:30:00,0.0,-15.0,0.0,34406,34439
2026-03-12 02:00:00,0.0,-110.0,0.0,34295,34329
2026-03-12 02:30:00,0.0,-20.0,0.0,34274,34309
2026-03-12 03:00:00,0.0,27.0,0.0,34302,34336
2026-03-12 03:30:00,0.0,12.0,0.0,34314,34348
2026-03-12 04:00:00,0.0,79.0,0.0,34394,34427
2026-03-12 04:30:00,0.0,-19.0,0.0,34375,34408
2026-03-12 05:00:00,0.0,-75.0,0.0,34299,34333
2026-03-12 09:00:00,0.0,-102.0,0.0,34195,34231
2026-03-12 09:30:00,0.0,208.0,0.0,34406,34439
2026-03-12 10:00:00,0.0,-101.0,0.0,34304,34338
2026-03-12 10:30:00,0.0,-104.0,0.0,34198,34234
2026-03-12 11:00:00,0.0,-162.0,-2.0,34035,34074
2026-03-12 11:30:00,0.0,0.0,-48.0,34084,34122
2026-03-12 12:00:00,0.0,0.0,-12.0,34096,34134
2026-03-12 12:30:00,0.0,0.0,-62.0,34159,34196
2026-03-12 13:00:00,0.0,0.0,141.0,34016,34055
2026-03-12 13:30:00,0.0,0.0,-49.0,34066,34104
2026-03-12 14:00:00,0.0,0.0,-52.0,34118,34156
2026-03-12 15:30:00,0.0,0.0,-176.0,34298,34332
2026-03-12 16:00:00,0.0,0.0,-17.0,34315,34349
2026-03-12 16:30:00,0.0,0.0,58.0,34256,34291
2026-03-12 17:00:00,-2.0,0.0,-31.0,34287,34322
2026-03-12 17:30:00,-32.0,0.0,32.0,34255,34290
2026-03-12 18:00:00,158.0,0.0,-158.0,34416,34448
